ID,Character,Gender,Job,House,Wand,Patronus,Species,BloodStatus,HairColor,EyeColor,Skills,Quidditch_Match_1996-1997,Quidditch_Match_1995-1996,Quidditch_Match_1997-1998,Quidditch_Match_1991-1992
12,LilyJ.Potter,Female,Unknown,Gryffindor,10Œ_Willowunknowncore,Doe,Human,Muggle-born,Auburn,BrightGreen,None,TRUE,FALSE,FALSE,FALSE
13,JamesPotter,Male,Unknown,Gryffindor,11Mahoganyunknowncore,Stag,Human,Pure-blood,Black,Hazel,Animagus_Seeker,FALSE,FALSE,FALSE,FALSE
14,SiriusBlack,Male,Unknown,Gryffindor,Unknown,Unknown,Human,Pure-blood,Black,Grey,Animagus_nonverbalmagic_Charms,FALSE,FALSE,FALSE,FALSE
15,RemusJohnLupin,Male,ProfessorofDefenceAgainsttheDarkArts,Gryffindor,10_Cypressunicornhair,Wolf,Werewolf,Half-blood,Lightbrownfleckedwithgrey,Green,ExceptionallygiftedinDefenceAgainsttheDarkArts,FALSE,FALSE,FALSE,FALSE
16,PeterPettigrew,Male,TheServantofLordVoldemort,Gryffindor,9_Chestnutdragonheartstring,None,Human,Half-blood,Colourlessandbalding,Blue,Animagus,FALSE,FALSE,FALSE,FALSE
17,PercyIgnatiusWeasley,Male,Student_Prefect_PersonalassistanttoBartyCrouchSnr,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Blue,Intelligent_hard-working_amodelstudent,FALSE,FALSE,FALSE,FALSE
18,(Bill)WilliamArthurWeasley,Male,Curse-BreakerforGringottsBank,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Blue,Highlyskilledcurse-breakerforGringottsWizardingBank_veryintelligent_pastHogwartsHeadBoy,FALSE,FALSE,FALSE,TRUE
19,CharlesWeasley,Male,Dragonologist,Gryffindor,12Ashunicorntailhair,Unknown,Human,Pure-blood,Red,Grey,Highlyskilleddragontrainer_one-timeGryffindorSeeker,FALSE,TRUE,FALSE,FALSE
20,HannahAbbott,Female,Student,Hufflepuff,Unknown,Non-corporeal,Human,Half-blood,Blonde,Brown,Defensivespells,FALSE,FALSE,FALSE,FALSE
21,OliverWood,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Unknown,Unknown,Keeper_CaptainoftheGryffindorQuidditchteam,FALSE,FALSE,FALSE,FALSE
22,PetuniaDursley,Female,None,None,None,None,Human,Muggle-blood,Blonde,Brown,None,FALSE,FALSE,FALSE,FALSE
23,KatieBell,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Brown,Brown,Chaser,FALSE,FALSE,FALSE,FALSE
24,AliciaSpinnet,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Brown,Brown,Chaser,FALSE,FALSE,FALSE,FALSE
25,LavenderBrown,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Blond,Blue,Divination,FALSE,TRUE,TRUE,FALSE
26,ParvatiPatil,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Dark,Dark,Divination,FALSE,FALSE,FALSE,FALSE
27,RomildaVane,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Black,Dark,SpikingChocolateCauldronswithlovepotion,FALSE,FALSE,FALSE,FALSE
28,ColinCreevey,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Mousy,Unknown,Photography,FALSE,FALSE,FALSE,FALSE
29,CormacMcLaggen,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Blond,Unknown,QuidditchKeeper,TRUE,TRUE,FALSE,FALSE
30,MinervaMcGonagall,Female,ProfessorofTransfiguration_HeadofGryffindor,Gryffindor,9_Firdragonheartstring,Cat,Human,Half-blood,Black,Green,Animagus,FALSE,FALSE,FALSE,FALSE
31,MollyWeasley,Female,Unknown,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,BrightBrown,Householdspells_healingmagic,FALSE,FALSE,FALSE,FALSE
32,ArthurWeasley,Male,HeadoftheMisuseofMuggleArtefactsOffice,Gryffindor,Unknown,Weasel,Human,Pure-blood,Red,Green,Muggleworldworks,FALSE,FALSE,FALSE,FALSE
33,QuirinusQuirrell,Male,DefenceAgainsttheDarkArts(1991-1992),Ravenclaw,9Alderunicornhairbendy,Non-corporeal,Human,Half-blood,Unknown,Unknown,LearnedinthetheoryofDefensiveMagic_lessadeptinthepractise,FALSE,FALSE,FALSE,FALSE
34,ChoChang,Female,Student,Ravenclaw,Unknown,Swan,Human,Pure-blood,Black,Dark,Seeker,FALSE,FALSE,FALSE,FALSE
35,LunaLovegood,Female,Student,Ravenclaw,Unknown,Hare,Human,Pure-blood,DirtyBlonde,PaleSilvery,SpottingNargles,FALSE,FALSE,FALSE,FALSE
36,GilderoyLockhart,Male,DefenceAgainsttheDarkArts(1992-1993),Ravenclaw,9Cherrydragonheartstring,Non-corporeal,Human,Half-blood,Blond,Blue,None,TRUE,TRUE,FALSE,FALSE
38,SybillPatriciaTrelawney,Female,ProfessorofDivination,Ravenclaw,9_äóùhazelunicornhaircore,Non-corporeal,Human,Half-blood,Unknown,Unknown,ASeer,FALSE,FALSE,FALSE,FALSE
39,GarrickOllivander,Male,Wandmaker,Ravenclaw,12_Hornbeamdragonheartstring,Non-corporeal,Human,Half-blood,Unknown,Silvery,Anincomparableunderstandingofwandcraft,FALSE,FALSE,FALSE,FALSE
40,MyrtleElizabethWarren,Female,Student,Ravenclaw,Unknown,Unknown,Ghost,Muggle-born,Unknown,Unknown,None,FALSE,FALSE,FALSE,FALSE
41,PadmaPatil,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Pure-blood,Dark,Dark,Prefect,FALSE,FALSE,FALSE,FALSE
42,MichaelCorner,Male,Student,Ravenclaw,Unknown,Squirrel,Human,Half-blood,Black,Brown,Potions,FALSE,FALSE,FALSE,FALSE
43,MariettaEdgecombe,Female,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood,ReddishBlonde,Grey,CoveringupthespotsthatblightherfaceafterbetrayingDumbledore'sArmy,FALSE,FALSE,TRUE,FALSE
44,TerryBoot,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood,Unknown,Unknown,Potions,FALSE,FALSE,FALSE,FALSE
45,AnthonyGoldstein,Male,Student,Ravenclaw,Unknown,Non-corporeal,Human,Half-blood,Blonde,Grey,Prefect,FALSE,FALSE,FALSE,FALSE
46,SeverusSnape,Male,ProfessorofPotions_HeadofSlytherin,Slytherin,Unknown,Doe,Human,Half-blood,Black,Black,ExtremelyskilledatpotionsandOcclumency,TRUE,FALSE,FALSE,FALSE
47,DracoMalfoy,Male,Student,Slytherin,10Hawthornunicornhair,Unknown,Human,Pure-blood,WhiteBlonde,Grey,Prefect,FALSE,FALSE,FALSE,FALSE
48,VincentCrabbe,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Black,Black,Beater,FALSE,FALSE,FALSE,FALSE
49,GregoryGoyle,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,Unknown,Beater,FALSE,FALSE,FALSE,FALSE
